1	c#	1	1	2008-07-31T21:42:52.667	new want use chang 
1	winforms	1	1	2008-07-31T21:42:52.667	new want use chang 
2	html	2	1	2008-07-31T21:42:52.667	absolut posit div contain 
2	css	2	1	2008-07-31T21:42:52.667	absolut posit div contain 
2	internet-explorer-7	2	1	2008-07-31T21:42:52.667	absolut posit div contain 
3	c#	3	1	2008-07-31T21:42:52.667	convers tool port visual 
3	conversion	3	1	2008-07-31T21:42:52.667	convers tool port visual 
4	c#	4	1	2008-07-31T21:42:52.667	given datetim repres birthday 
4	datetime	4	1	2008-07-31T21:42:52.667	given datetim repres birthday 
5	c#	5	1	2008-07-31T21:42:52.667	given specif datetim valu 
5	.net	5	1	2008-07-31T21:42:52.667	given specif datetim valu 
5	datetime	5	1	2008-07-31T21:42:52.667	given specif datetim valu 
6	html	6	1	2008-07-31T21:42:52.667	standard way web server 
6	browser	6	1	2008-07-31T21:42:52.667	standard way web server 
6	time	6	1	2008-07-31T21:42:52.667	standard way web server 
6	timezone	6	1	2008-07-31T21:42:52.667	standard way web server 
7	c#	7	1	2008-07-31T21:42:52.667	differ differ net 
7	math	7	1	2008-07-31T21:42:52.667	differ differ net 
8	c#	8	1	2008-07-31T21:42:52.667	expos linq queri asmx 
8	linq	8	1	2008-07-31T21:42:52.667	expos linq queri asmx 
8	web-services	8	1	2008-07-31T21:42:52.667	expos linq queri asmx 
8	.net-3.5	8	1	2008-07-31T21:42:52.667	expos linq queri asmx 
9	mysql	9	1	2008-07-31T21:42:52.667	store binari data mysql 
9	database	9	1	2008-07-31T21:42:52.667	store binari data mysql 
10	performance	10	1	2008-07-31T21:42:52.667	solut welcom languag look 
10	algorithm	10	1	2008-07-31T21:42:52.667	solut welcom languag look 
10	language-agnostic	10	1	2008-07-31T21:42:52.667	solut welcom languag look 
10	unix	10	1	2008-07-31T21:42:52.667	solut welcom languag look 
11	php	11	1	2008-07-31T21:42:52.667	tri track progress php 
12	mysql	12	1	2008-07-31T21:42:52.667	trigger updat tabl throw 
12	database	12	1	2008-07-31T21:42:52.667	trigger updat tabl throw 
12	triggers	12	1	2008-07-31T21:42:52.667	trigger updat tabl throw 
13	c++	13	1	2008-07-31T21:42:52.667	issu get socket api 
13	c	13	1	2008-07-31T21:42:52.667	issu get socket api 
13	sockets	13	1	2008-07-31T21:42:52.667	issu get socket api 
14	flex	14	1	2008-07-31T21:42:52.667	anyon know forc unload 
14	actionscript-3	14	1	2008-07-31T21:42:52.667	anyon know forc unload 
15	sql-server	15	1	2008-07-31T21:42:52.667	monitor mssql databas chang 
15	datatable	15	1	2008-07-31T21:42:52.667	monitor mssql databas chang 
